Macedonian Empire,el-GR-Standard-A,Macedonian Empire/Ancient Greece
Madagascar,fr-FR-Standard-B,Madagascar
Malawi,en-GB-Standard-D,Malawi
Malaysia,ms-MY-Standard-A,Malaysia
Maldives,en-IN-Standard-D,Maldives
Mali,fr-FR-Standard-B,Mali
Malta,en-GB-Standard-C,Malta
Mauritania,ar-XA-Standard-B,Mauritania
Mauritius,en-GB-Standard-D,Mauritius
Mexico,es-US-Standard-C,Mexico
Micronesia,en-US-Standard-B,Micronesia
Moldova,ro-RO-Standard-B,Moldova
Mongolia,yue-HK-Standard-D,Mongolia
Montenegro,sr-RS-Standard-A,Montenegro
Morocco,ar-XA-Standard-D,Morocco
Mozambique,pt-PT-Standard-C,Mozambique
Myanmar,bn-IN-Standard-D,Myanmar/Burma
Namibia,en-GB-Standard-D,Namibia
Nazi Germany,de-DE-Standard-E,Nazi Germany
Nepal,hi-IN-Standard-A,Nepal
Netherlands,nl-NL-Standard-B,Netherlands/The Netherlands
New Zealand,en-AU-Standard-C,New Zealand
Nicaragua,es-ES-Standard-A,Nicaragua
Niger,fr-FR-Standard-B,Niger
Nigeria,en-GB-Standard-D,Nigeria
Norfolk Island,en-AU-Standard-B,Norfolk Island
North Korea,ko-KR-Standard-C,North Korea
North Macedonia,bg-BG-Standard-A,North Macedonia
Norway,nb-NO-Standard-B,Norway
Old China,cmn-CN-Standard-B,Old China/Qing China/Ming China
Oman,ar-XA-Standard-A,Oman
Ottoman Empire,tr-TR-Standard-E,Ottoman Empire
Pakistan,pa-IN-Standard-D,Pakistan
Palestine,ar-XA-Standard-C,Palestine
Panama,es-US-Standard-B,Panama
Papua New Guinea,en-AU-Standard-C,Papua New Guinea
Paraguay,pt-BR-Standard-A,Paraguay
Persia,tr-TR-Standard-B,Persia/Persian Empire
Peru,es-US-Standard-C,Peru
Philippines,fil-PH-Standard-C,Philippines
Pitcairn Islands,en-GB-Standard-F,Pitcairn Islands
Poland,pl-PL-Standard-B,Poland
Portugal,pt-PT-Standard-A,Portugal
Prussia,de-DE-Standard-E,Prussia
Puerto Rico,es-US-Standard-C,Puerto Rico
Qatar,ar-XA-Standard-B,Qatar
Roman Empire,it-IT-Standard-D,Roman Empire/Ancient Rome
Romania,ro-RO-Standard-A,Romania
Russia,ru-RU-Standard-C,Russia
Rwanda,fr-FR-Standard-B,Rwanda
Réunion,fr-FR-Standard-C,Réunion
Samoa,en-NZ-Standard-B,Samoa
San Marino,it-IT-Standard-D,San Marino
Saudi Arabia,ar-XA-Standard-C,Saudi Arabia
Scotland,en-GB-Standard-C,Scotland
Senegal,fr-FR-Standard-B,Senegal
Serbia,sr-RS-Standard-A,Serbia
Sierra Leone,en-GB-Standard-C,Sierra Leone
Singapore,ms-MY-Standard-B,Singapore
Slovakia,sk-SK-Standard-A,Slovakia
Slovenia,sk-SK-Standard-A,Slovenia
Solomon Islands,en-AU-Standard-C,Solomon Islands
Somalia,ar-XA-Standard-C,Somalia
Somaliland,ar-XA-Standard-B,Somaliland
South Africa,af-ZA-Standard-A,South Africa
South Korea,ko-KR-Standard-B,South Korea
South Sudan,ar-XA-Standard-C,South Sudan
Soviet Union,ru-RU-Standard-D,Soviet Union/USSR
Spain,es-ES-Standard-B,Spain
Sri Lanka,ta-IN-Standard-B,Sri Lanka
Sudan,ar-XA-Standard-C,Sudan
Suriname,nl-NL-Standard-C,Suriname
Sweden,sv-SE-Standard-E,Sweden
Switzerland,de-DE-Standard-D,Switzerland
Syria,ar-XA-Standard-C,Syria
Taiwan,yue-HK-Standard-C,Taiwan
Tajikistan,tr-TR-Standard-D,Tajikistan
Tanganyika,pt-PT-Standard-B,Tanganyika
Tanzania,pt-PT-Standard-C,Tanzania
Texas,en-US-Standard-B,Texas
Thailand,th-TH-Standard-A,Thailand
Timor-Leste,pt-PT-Standard-A,Timor-Leste
Togo,fr-FR-Standard-B,Togo
Trinidad & Tobago,en-GB-Standard-F,Trinidad & Tobago/Trinidad and Tobago/Trinidad
Tristan da Cunha,en-GB-Standard-B,Tristan da Cunha
Tunisia,ar-XA-Standard-B,Tunisia
Turkey,tr-TR-Standard-E,Turkey
Turkmenistan,tr-TR-Standard-C,Turkmenistan
Uganda,en-GB-Standard-D,Uganda
Ukraine,uk-UA-Standard-A,Ukraine
Union States,en-US-Standard-J,Union States/Union/The Union
United Arab Emirates,ar-XA-Standard-C,United Arab Emirates/UAE
United Kingdom,en-GB-Standard-B,United Kingdom/UK/Britain
United Nations,pt-PT-Standard-C,United Nations/UN
United States,en-US-Standard-J,United States/US/USA/America
Uruguay,pt-BR-Standard-B,Uruguay
Uzbekistan,ru-RU-Standard-B,Uzbekistan
Vatican City,it-IT-Standard-D,Vatican City/Holy See
Venezuela,es-US-Standard-C,Venezuela
Vietnam,vi-VN-Standard-C,Vietnam
Wales,en-GB-Standard-C,Wales
Western Sahara,ar-XA-Standard-C,Western Sahara/Sahara/Sahrawi
Yemen,ar-XA-Standard-D,Yemen
Yugoslavia,sr-RS-Standard-A,Yugoslavia
Zambia,en-GB-Standard-D,Zambia
Zanzibar,pt-PT-Standard-A,Zanzibar
Zimbabwe,en-GB-Standard-D,Zimbabwe
